ticker,entry_date,exit_date,days_held,entry_price,exit_price,return_pct,pnl,exit_reason
CAT,2025-06-27,2025-07-10,13,380.59,399.62,5.0,5000.0,profit_target
HD,2025-06-27,2025-07-15,18,361.88,354.65,-2.0,-2000.0,stop_loss
META,2025-06-27,2025-07-01,4,731.23,716.61,-2.0,-2000.0,stop_loss
MSFT,2025-06-27,2025-07-31,34,492.01,516.61,5.0,5000.0,profit_target
AAPL,2025-06-30,2025-07-07,7,204.36,214.58,5.0,5000.0,profit_target
AMZN,2025-06-30,2025-07-24,24,219.39,230.36,5.0,5000.0,profit_target
GOOGL,2025-06-30,2025-07-18,18,175.73,184.52,5.0,5000.0,profit_target
NOW,2025-06-30,2025-07-01,1,205.62,201.5,-2.0,-2000.0,stop_loss
PEP,2025-06-30,2025-07-17,17,128.35,134.76,5.0,5000.0,profit_target
TSLA,2025-06-30,2025-07-01,1,317.66,311.31,-2.0,-2000.0,stop_loss
WMT,2025-06-30,2025-07-08,8,96.97,96.28,-0.71,-705.68,below_ma50
GS,2025-07-01,2025-07-16,15,695.57,681.66,-2.0,-2000.0,stop_loss
NFLX,2025-07-01,2025-07-08,7,129.36,126.77,-2.0,-2000.0,stop_loss
ORCL,2025-07-01,2025-07-02,1,216.79,227.62,5.0,5000.0,profit_target
META,2025-07-02,2025-07-16,14,711.24,697.01,-2.0,-2000.0,stop_loss
NOW,2025-07-02,2025-07-10,8,201.95,197.91,-2.0,-2000.0,stop_loss
NVDA,2025-07-02,2025-07-11,9,157.22,165.09,5.0,5000.0,profit_target
CRM,2025-07-03,2025-07-07,4,269.87,267.54,-0.86,-863.51,below_ma50
ORCL,2025-07-03,2025-07-07,4,234.96,230.26,-2.0,-2000.0,stop_loss
BAC,2025-07-07,2025-07-08,1,47.87,46.91,-2.0,-2000.0,stop_loss
V,2025-07-07,2025-07-08,1,353.85,351.77,-0.59,-586.02,below_ma50
AAPL,2025-07-08,2025-08-01,24,209.18,205.0,-2.0,-2000.0,stop_loss
CRM,2025-07-08,2025-07-09,1,271.35,268.65,-1.0,-997.64,below_ma50
ORCL,2025-07-08,2025-07-14,6,232.17,227.53,-2.0,-2000.0,stop_loss
BAC,2025-07-09,2025-07-16,7,46.08,45.16,-2.0,-2000.0,stop_loss
CVX,2025-07-09,2025-07-16,7,146.87,143.93,-2.0,-2000.0,stop_loss
NFLX,2025-07-09,2025-07-10,1,128.83,126.25,-2.0,-2000.0,stop_loss
AVGO,2025-07-10,2025-07-14,4,273.4,267.93,-2.0,-2000.0,stop_loss
LLY,2025-07-10,2025-07-15,5,785.1,769.39,-2.0,-2000.0,stop_loss
XOM,2025-07-10,2025-07-15,5,111.38,109.15,-2.0,-2000.0,stop_loss
CAT,2025-07-11,2025-07-23,12,401.57,421.65,5.0,5000.0,profit_target
NFLX,2025-07-11,2025-07-18,7,124.51,122.02,-2.0,-2000.0,stop_loss
NVDA,2025-07-14,2025-07-15,1,164.04,172.24,5.0,5000.0,profit_target
AVGO,2025-07-15,2025-07-23,8,278.9,273.32,-2.0,-2000.0,stop_loss
ORCL,2025-07-15,2025-07-17,2,233.12,244.78,5.0,5000.0,profit_target
NVDA,2025-07-16,2025-07-22,6,171.34,167.91,-2.0,-2000.0,stop_loss
XOM,2025-07-16,2025-07-18,2,108.76,106.59,-2.0,-2000.0,stop_loss
CVX,2025-07-17,2025-07-18,1,145.29,142.39,-2.0,-2000.0,stop_loss
GS,2025-07-17,2025-08-12,26,694.96,729.71,5.0,5000.0,profit_target
BAC,2025-07-18,2025-08-01,14,46.55,45.62,-2.0,-2000.0,stop_loss
ORCL,2025-07-18,2025-07-22,4,243.53,238.66,-2.0,-2000.0,stop_loss
